case_number,source_group_number,scenario,phase,arm,status,decision_correct,evidence_correct,exact_correct,direct,e2e_s,jev_s,codex_s,confidence,codex_input_tokens,codex_cached_tokens,codex_output_tokens,jev_input_tokens,jev_output_tokens
28,10,mr,dev,B,ok,1,1,1,0,1.0235197910224088,1.0225607919855975,0,0.89,0,0,0,627,96
29,11,mr,dev,A,ok,1,1,1,0,7.783545124984812,0,7.782154667016584,,25160,0,23,0,0
29,11,mr,dev,B,ok,0,0,0,0,0.8498400419484824,0.8492874579969794,0,0.35,0,0,0,661,96
30,11,mr,dev,A,ok,1,1,1,0,12.902972459036391,0,12.901859916979447,,25182,0,22,0,0
30,11,mr,dev,B,ok,0,1,0,0,0.9340531249763444,0.933380667003803,0,0.26,0,0,0,680,94
31,12,snake,dev,A,ok,1,1,1,0,14.655837916012388,0,14.654737124976236,,25016,19072,20,0,0
31,12,snake,dev,B,ok,0,1,0,0,1.1802925410447642,1.1797139589907601,0,0.25,0,0,0,562,83
32,12,snake,dev,A,ok,1,1,1,0,10.665732167020906,0,10.663216166954953,,25006,21760,21,0,0
32,12,snake,dev,B,ok,1,1,1,0,0.8733435420435853,0.8719401250127703,0,0.86,0,0,0,555,88
33,12,snake,dev,A,ok,1,1,1,0,10.68425891600782,0,10.681431541976053,,25016,0,21,0,0
33,12,snake,dev,B,ok,1,1,1,0,1.1379145830287598,1.135424125008285,0,0.89,0,0,0,562,88
34,12,snake,dev,A,ok,1,1,1,0,9.679097875021398,0,9.677347500051837,,25008,0,21,0,0
34,12,snake,dev,B,ok,1,1,1,0,0.9253634579945356,0.9245210830122232,0,0.99,0,0,0,556,88
35,12,snake,dev,A,ok,1,1,1,0,10.322496875014622,0,10.321015624969732,,25018,0,20,0,0
35,12,snake,dev,B,ok,1,1,1,0,0.8792030829936266,0.8786337500205263,0,0.39,0,0,0,565,83
36,13,snake,dev,A,ok,1,1,1,0,11.92340037500253,0,11.921332333004102,,25020,21760,20,0,0
36,13,snake,dev,B,ok,1,1,1,0,0.9282347910339013,0.9275064170360565,0,0.91,0,0,0,565,83
37,13,snake,dev,A,ok,1,1,1,0,13.422275500022806,0,13.421385499997996,,25008,0,21,0,0
37,13,snake,dev,B,ok,1,1,1,0,1.11859337502392,1.1181840829667635,0,0.99,0,0,0,554,88
38,13,snake,dev,A,error,0,0,0,0,7.060348249971867,0,7.059523332980461,,,,,0,0
38,13,snake,dev,B,ok,0,1,0,0,0.8208106670062989,0.8203430420253426,0,0.27,0,0,0,565,88
39,13,snake,dev,A,ok,1,1,1,0,11.273781042022165,0,11.271737416042015,,25008,0,21,0,0
39,13,snake,dev,B,ok,1,1,1,0,1.0985448749852367,1.0975159160443582,0,0.95,0,0,0,554,88
40,13,snake,dev,A,ok,1,1,1,0,9.201355915982276,0,9.199525667005219,,25019,0,20,0,0
40,13,snake,dev,B,ok,1,1,1,0,0.8435651250183582,0.8427980419946834,0,0.72,0,0,0,564,83
41,14,crash,repeat,A,ok,1,1,1,0,15.061697833996732,0,15.060285375046078,,25496,21760,24,0,0
41,14,crash,repeat,B,ok,1,1,1,0,1.13491016702028,1.1334720409940928,0,0.94,0,0,0,1017,158
41,14,crash,repeat,C,ok,1,1,1,1,0.9423879589885473,0.941788042022381,0,0.95,0,0,0,1017,158
41,14,crash,repeat,A,ok,1,1,1,0,13.360449833970051,0,13.358451000007335,,27240,19200,24,0,0
41,14,crash,repeat,B,error,0,0,0,0,0.7763958330033347,0.7742348749889061,0,0.0,0,0,0,,
41,14,crash,repeat,C,ok,1,1,1,0,9.83222725003725,0.8045902089797892,9.02361245895736,0.0,25526,21760,24,,
42,15,crash,repeat,A,ok,1,1,1,0,9.386816000042018,0,9.385003666975535,,25506,21760,26,0,0
42,15,crash,repeat,B,error,0,0,0,0,0.9949082909733988,0.9942133750300854,0,0.0,0,0,0,,
42,15,crash,repeat,C,ok,1,1,1,0,9.958463500021026,0.984167458023876,8.968822165974416,0.0,25536,21760,26,,
42,15,crash,repeat,A,ok,1,1,1,0,13.147972250008024,0,13.146648499998264,,25506,21760,26,0,0
42,15,crash,repeat,B,ok,1,1,1,0,0.8711291659856215,0.8704854579991661,0,1.0,0,0,0,1026,161
42,15,crash,repeat,C,ok,1,1,1,0,10.015774416038767,0.7929745000437833,9.22049270896241,0.0,25536,21760,26,,
43,16,crash,repeat,A,ok,1,1,1,0,9.410239207965788,0,9.408984833047725,,25512,0,23,0,0
43,16,crash,repeat,B,ok,1,1,1,0,0.8737693330040202,0.8727000410435721,0,0.99,0,0,0,1035,158
43,16,crash,repeat,C,ok,1,1,1,1,2.0337252499884926,2.0323325420031324,0,0.99,0,0,0,1035,158
43,16,crash,repeat,A,ok,1,1,1,0,8.918904791004024,0,8.917314874997828,,25512,21760,23,0,0
